system:index,B1,B11,B12,B2,B3,B4,B5,B8,B4/B11+B12,B3/B5,B2+b3/B1+B2+B4,B3+B5/B1+B4,B3/(b1+b4),B12/B11,B11/B12,B3/B4,B4/B3,B4/B1,(B3+B4)/B3,(B2+B3)/(B1+B4),DQO_TOT,P_TOT,pH_CAMPO,OD_mg/L,TURBIEDAD,SST,SDT,COLOR_VER,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,n_images,nombre,range_end,range_start,target_date,.geo
12_1,0.156599998,0.1417,0.079899997,0.112549998,0.103249997,0.080449998,0.108649999,0.160899997,0.363041515,0.950299107,0.617276882,0.893904234,0.643903961,0.563867302,1.105151722,1.283405829,0.779176763,1.006883628,1.779176763,1.345806059,33.94,0.23536,8.3,11.55,4.5,11,4752,6,0.071094,0.102048,8.963197,0.95428,10.090619,1.025374,5,Punto_2,3/11/2018,1/9/2018,2/8/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
13_1,0.149350002,0.127800003,0.084250003,0.104900002,0.089199997,0.068049997,0.102949999,0.111249998,0.320914856,0.866440001,0.60223394,0.883854633,0.585686129,0.659233187,1.168622842,1.310800901,0.762892366,0.807715069,1.762892366,1.274458304,21.56,0.07867,8.3,7.19,4.3,9,943.36,15,0.061228,0.045523,5.419332,0.98384,6.509923,1.045068,5,Punto_2,4/13/2018,2/11/2018,3/13/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
14_1,0.143549994,0.139449999,0.087800004,0.107150003,0.099799998,0.079049997,0.112300001,0.172250003,0.347854769,0.888690981,0.62759668,0.952830225,0.59814203,0.629616381,1.029401183,1.262492117,0.792084154,0.900341615,1.792084154,1.240335635,20.91,0.1999,7.9,8.1,9.3,15.67,842.88,5,0.094463,0.075861,4.102574,0.73058,5.003478,0.825043,4,Punto_2,5/27/2018,3/27/2018,4/26/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
15_1,0.167300001,0.170499995,0.092100002,0.129199997,0.121699996,0.089400001,0.120800003,0.276800007,0.340441743,1.007450272,0.650168422,0.944682502,0.670523385,0.540175979,0.981231703,1.361297484,0.734593292,0.970684029,1.734593292,1.382369086,25.8,0.08203,7.7,7.69,6.7,10.67,2976,15,0.197819,0.004,4.4136,1.00847,5.6,1.2,8,Punto_2,7/9/2018,5/9/2018,6/8/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
16_1,0.167300001,0.170499995,0.085500002,0.129199997,0.121699996,0.089699998,0.120800003,0.276800007,0.350390623,1.007450272,0.649663375,0.943579768,0.69463468,0.501466301,0.981231703,1.356744686,0.73705835,1.049122766,1.73705835,1.432077582,19.87,0.44163,8,8.43,5.9,11,4264,13,0.118227,0.465243,7.771686,1.14211,9.497266,1.260337,3,Punto_2,11/8/2018,9/8/2018,10/8/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
17_1,0.137199998,0.128299996,0.065800004,0.097199999,0.087300003,0.062100001,0.085600004,0.149100006,0.31993818,1.0198598,0.622259707,0.867536414,0.6825645,0.512860527,1.069368682,1.405797128,0.711340193,0.943768954,1.711340193,1.44253319,16.71,0.4015,7.3,8.3,2.4,9,4976,15,0.242949,0.789775,9.157088,2.09054,12.280352,2.333489,6,Punto_2,12/13/2018,10/13/2018,11/12/2018,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
18_1,0.136749998,0.123850003,0.065049998,0.094750002,0.08055,0.059149999,0.085249998,0.136449993,0.313128633,0.944868062,0.603130923,0.846350181,0.648550738,0.525232111,1.104158212,1.361792074,0.734326494,0.909300547,1.734326494,1.411433216,26.69,1.18098,7.6,6.06,3.5,11,4592,20,2.736161,0.986876,6.275272,0,9.998309,2.736161,4,Punto_2,2/14/2019,12/15/2018,1/14/2019,"{""type"":""Point"",""coordinates"":[-100.29269,25.80148]}"
0_2,0.138300002,0.105400003,0.062399998,0.093500003,0.072549999,0.052200001,0.079800002,0.088699996,0.311084626,0.909147828,0.584683094,0.799737528,0.633071548,0.592030325,1.312144184,1.3898467,0.719503813,0.836538496,1.719503813,1.448952909,64,2.682703,7.7,7.42,12,11,1335.04,40,33.822792,0.332239,2.756518,0,36.911549,33.822792,2,Punto_3,3/27/2016,1/26/2016,2/25/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
1_2,0.143199995,0.125200003,0.084399998,0.1074,0.091499999,0.087099999,0.083800003,0.134399995,0.415553428,1.091885393,0.588984313,0.761181096,0.5335277,0.674121373,1.143769898,1.050516648,0.951912568,1.031990534,1.951912568,1.159766777,290,4.12874,7.8,8.1,75,48,1258.24,70,21.106628,0.065095,0.188468,6.784106,28.144297,27.890734,2,Punto_3,5/13/2016,3/13/2016,4/12/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
2_2,0.139500007,0.154200003,0.089699998,0.122000001,0.113700002,0.100599997,0.1074,0.239700004,0.41246411,1.05865924,0.65092516,0.920866302,0.597477695,0.581712043,0.904669291,1.130218749,0.884784473,1.121516147,1.884784473,1.238570729,17.44,0.270257,7.9,8.72,11,23,1862.4,15,0.906302,0.188474,3.639453,1.277882,6.012111,2.184184,4,Punto_3,6/17/2016,4/17/2016,5/17/2016,"{""type"":""Point"",""coordinates"":[-100.28059,25.80205]}"
